Applied Nodal Loadvector Loadcase      2
  Node     PXX[N]     PYY[N]     PZZ[N]    MXX[Nm]    MYY[Nm]    MZZ[Nm]
  1874       0.00       0.00    -209.38       0.00       0.00       0.00
  1875       0.00       0.00    -278.19       0.00       0.00       0.00
  1876       0.00       0.00    -147.68       0.00       0.00       0.00
  1878       0.00       0.00    -374.78       0.00       0.00       0.00
  1879       0.00       0.00    -282.59       0.00       0.00       0.00
  1881       0.00       0.00    -208.60       0.00       0.00       0.00
  1882       0.00       0.00    -314.93       0.00       0.00       0.00
  1893       0.00       0.00     -72.33       0.00       0.00       0.00
  1894       0.00       0.00     -54.05       0.00       0.00       0.00
  1895       0.00       0.00     -59.62       0.00       0.00       0.00
  1896       0.00       0.00     -73.04       0.00       0.00       0.00
  1897       0.00       0.00     -73.99       0.00       0.00       0.00
  2000       0.00       0.00     -57.77       0.00       0.00       0.00
  2001       0.00       0.00    -232.00       0.00       0.00       0.00
  2002       0.00       0.00    -213.42       0.00       0.00       0.00
  2004       0.00       0.00    -149.44       0.00       0.00       0.00
  2005       0.00       0.00    -339.41       0.00       0.00       0.00
  2009       0.00       0.00    -142.22       0.00       0.00       0.00
  2010       0.00       0.00    -219.65       0.00       0.00       0.00
  2011       0.00       0.00    -140.58       0.00       0.00       0.00
  2012       0.00       0.00    -130.63       0.00       0.00       0.00
  2021       0.00       0.00    -143.56       0.00       0.00       0.00
  2022       0.00       0.00    -167.01       0.00       0.00       0.00
  2023       0.00       0.00    -139.20       0.00       0.00       0.00
  2024       0.00       0.00     -66.03       0.00       0.00       0.00
  2025       0.00       0.00    -250.86       0.00       0.00       0.00
  2026       0.00       0.00    -125.27       0.00       0.00       0.00
  2027       0.00       0.00    -117.70       0.00       0.00       0.00
  2028       0.00       0.00    -132.72       0.00       0.00       0.00
  2029       0.00       0.00    -196.91       0.00       0.00       0.00
  2030       0.00       0.00    -240.98       0.00       0.00       0.00
  2031       0.00       0.00    -153.80       0.00       0.00       0.00
  2032       0.00       0.00    -171.51       0.00       0.00       0.00
  2033       0.00       0.00    -141.49       0.00       0.00       0.00
  2034       0.00       0.00    -115.13       0.00       0.00       0.00
  2035       0.00       0.00    -102.21       0.00       0.00       0.00
  2036       0.00       0.00    -105.96       0.00       0.00       0.00
  2041       0.00       0.00     -60.63       0.00       0.00       0.00
  2043       0.00       0.00    -106.79       0.00       0.00       0.00
  2048       0.00       0.00     -51.36       0.00       0.00       0.00
  2049       0.00       0.00    -131.89       0.00       0.00       0.00
  2050       0.00       0.00    -131.89       0.00       0.00       0.00
  2051       0.00       0.00    -131.89       0.00       0.00       0.00
  2062       0.00       0.00     -55.92       0.00       0.00       0.00
  2063       0.00       0.00    -131.89       0.00       0.00       0.00
  2064       0.00       0.00    -131.89       0.00       0.00       0.00
  2065       0.00       0.00    -384.78       0.00       0.00       0.00
  2066       0.00       0.00    -333.64       0.00       0.00       0.00
  2067       0.00       0.00    -137.46       0.00       0.00       0.00
  2068       0.00       0.00     -98.23       0.00       0.00       0.00
  2069       0.00       0.00    -509.74       0.00       0.00       0.00
  2070       0.00       0.00    -221.14       0.00       0.00       0.00
  2071       0.00       0.00     -73.42       0.00       0.00       0.00
  2074       0.00       0.00    -160.44       0.00       0.00       0.00
  2078       0.00       0.00    -206.11       0.00       0.00       0.00
  2130       0.00       0.00    -109.62       0.00       0.00       0.00
  2132       0.00       0.00    -127.55       0.00       0.00       0.00
  2133       0.00       0.00    -193.16       0.00       0.00       0.00
  2134       0.00       0.00    -130.95       0.00       0.00       0.00
  2137       0.00       0.00    -341.11       0.00       0.00       0.00
  2138       0.00       0.00    -135.64       0.00       0.00       0.00
  2139       0.00       0.00    -209.65       0.00       0.00       0.00
  2140       0.00       0.00    -128.58       0.00       0.00       0.00
  2143       0.00       0.00     -61.13       0.00       0.00       0.00
  2147       0.00       0.00    -302.68       0.00       0.00       0.00
  2148       0.00       0.00    -286.43       0.00       0.00       0.00
  2149       0.00       0.00    -275.41       0.00       0.00       0.00
  2150       0.00       0.00    -112.69       0.00       0.00       0.00
  2152       0.00       0.00    -102.81       0.00       0.00       0.00
  2153       0.00       0.00     -59.24       0.00       0.00       0.00
  2154       0.00       0.00    -218.60       0.00       0.00       0.00
  2155       0.00       0.00     -80.24       0.00       0.00       0.00
  2156       0.00       0.00     -78.39       0.00       0.00       0.00
  2158       0.00       0.00    -286.36       0.00       0.00       0.00
  2159       0.00       0.00     -59.87       0.00       0.00       0.00
  2160       0.00       0.00     -90.96       0.00       0.00       0.00
  2161       0.00       0.00     -85.75       0.00       0.00       0.00
  2162       0.00       0.00     -94.83       0.00       0.00       0.00
  2165       0.00       0.00     -62.80       0.00       0.00       0.00
  2578       0.00       0.00    -222.05       0.00       0.00       0.00
  2579       0.00       0.00    -269.23       0.00       0.00       0.00
  2580       0.00       0.00    -327.48       0.00       0.00       0.00
  2581       0.00       0.00    -399.49       0.00       0.00       0.00
  2582       0.00       0.00    -455.02       0.00       0.00       0.00
  2583       0.00       0.00    -473.59       0.00       0.00       0.00
  2584       0.00       0.00    -480.93       0.00       0.00       0.00
  2585       0.00       0.00    -443.19       0.00       0.00       0.00
  2586       0.00       0.00    -402.97       0.00       0.00       0.00
  2587       0.00       0.00    -333.34       0.00       0.00       0.00
  2588       0.00       0.00    -259.27       0.00       0.00       0.00
  2589       0.00       0.00    -256.32       0.00       0.00       0.00
  2590       0.00       0.00    -250.59       0.00       0.00       0.00
  2591       0.00       0.00    -202.23       0.00       0.00       0.00
  2592       0.00       0.00    -236.85       0.00       0.00       0.00
  2593       0.00       0.00    -163.57       0.00       0.00       0.00
  2594       0.00       0.00    -207.32       0.00       0.00       0.00
  2595       0.00       0.00    -232.98       0.00       0.00       0.00
  2596       0.00       0.00    -258.38       0.00       0.00       0.00
  2597       0.00       0.00    -300.83       0.00       0.00       0.00
